[INFO  ] [21:42:16.227132] <   > fastchess --- fastchess alpha 1.4.0 20250702-2a80921
[INFO  ] [21:42:16.227310] <   > fastchess --- Setting seed to: 12625659313421965355
[INFO  ] [21:42:16.227402] <   > fastchess --- Starting tournament...
[Engine] [21:42:16.265719] <  2> Engine1 <--- uci
[Engine] [21:43:51.820903] <  2> Engine2 ---> info depth 5 score cp 509 nodes 907485 nps 151247 hashfull 44 pv b4c3 b2c3 h4f2 d1b3 f2f1 
[Engine] [21:43:51.821006] <  2> Engine2 ---> bestmove b4c3
[Engine] [21:43:51.821040] <  2> Engine2 <--- isready
[Engine] [21:43:51.821079] <  2> Engine2 ---> readyok
[Engine] [21:43:51.821145] <  2> Engine1 <--- isready
[Engine] [21:43:51.821182] <  2> Engine1 ---> readyok
[Engine] [21:43:51.821250] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3
[Engine] [21:43:51.821292] <  2> Engine1 <--- isready
[Engine] [21:43:51.821337] <  2> Engine1 ---> readyok
[Engine] [21:43:51.821363] <  2> Engine1 <--- go wtime 10166 btime 24819 winc 500 binc 500
[Engine] [21:43:51.839366] <  2> Engine1 ---> info depth 1 score cp -205 nodes 12 nps 0 hashfull 0 pv b2c3 
[Engine] [21:43:51.858279] <  2> Engine1 ---> info depth 2 score cp -304 nodes 472 nps 0 hashfull 0 pv b2c3 h4h2 
[Engine] [21:43:51.877995] <  2> Engine1 ---> info depth 3 score cp -102 nodes 492 nps 0 hashfull 0 pv b2c3 f4f3 g2f3 
[Engine] [21:43:52.787419] <  2> Engine1 ---> info depth 4 score cp -509 nodes 187317 nps 0 hashfull 2 pv b2c3 h4f2 d1b3 f2f1 
[Engine] [21:43:52.787518] <  2> Engine1 ---> bestmove b2c3
[Engine] [21:43:52.787552] <  2> Engine1 <--- isready
[Engine] [21:43:52.787593] <  2> Engine1 ---> readyok
[Engine] [21:43:52.787659] <  2> Engine2 <--- isready
[Engine] [21:43:52.787749] <  2> Engine2 ---> readyok
[Engine] [21:43:52.787777] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3
[Engine] [21:43:52.787802] <  2> Engine2 <--- isready
[Engine] [21:43:52.787864] <  2> Engine2 ---> readyok
[Engine] [21:43:52.787889] <  2> Engine2 <--- go wtime 9700 btime 24819 winc 500 binc 500
[Engine] [21:43:52.816951] <  2> Engine2 ---> info depth 1 score cp 304 nodes 108 nps 0 hashfull 0 pv h4h2 
[Engine] [21:43:52.833553] <  2> Engine2 ---> info depth 2 score cp 102 nodes 261 nps 0 hashfull 0 pv f4f3 g2f3 
[Engine] [21:43:52.992188] <  2> Engine2 ---> info depth 3 score cp 509 nodes 31485 nps 0 hashfull 0 pv h4f2 d1b3 f2f1 
[Engine] [21:43:53.121503] <  2> Engine2 ---> info depth 4 score cp -98 nodes 10396 nps 0 hashfull 0 pv h4f2 a1b1 h7h5 b1b6 
[Engine] [21:43:55.946541] <  2> Engine2 ---> info depth 5 score cp 415 nodes 267511 nps 89170 hashfull 17 pv h4f2 d2c2 h7h5 c1f4 f2f1 
[Engine] [21:43:55.946647] <  2> Engine2 ---> bestmove h4f2
[Engine] [21:43:55.946675] <  2> Engine2 <--- isready
[Engine] [21:43:55.946719] <  2> Engine2 ---> readyok
[Engine] [21:43:55.946797] <  2> Engine1 <--- isready
[Engine] [21:43:55.946843] <  2> Engine1 ---> readyok
[Engine] [21:43:55.946863] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2
[Engine] [21:43:55.946882] <  2> Engine1 <--- isready
[Engine] [21:43:55.946912] <  2> Engine1 ---> readyok
[Engine] [21:43:55.946929] <  2> Engine1 <--- go wtime 9700 btime 22161 winc 500 binc 500
[Engine] [21:43:55.964393] <  2> Engine1 ---> info depth 1 score cp -205 nodes 57 nps 0 hashfull 0 pv d4d5 
[Engine] [21:43:55.980771] <  2> Engine1 ---> info depth 2 score cp -509 nodes 223 nps 0 hashfull 0 pv d1b3 f2f1 
[Engine] [21:43:56.023781] <  2> Engine1 ---> info depth 3 score cp 98 nodes 4070 nps 0 hashfull 0 pv a1b1 h7h5 b1b6 
[Engine] [21:43:56.427528] <  2> Engine1 ---> info depth 4 score cp -415 nodes 29975 nps 0 hashfull 2 pv d2c2 h7h5 c1f4 f2f1 
[Engine] [21:43:56.427626] <  2> Engine1 ---> bestmove d2c2
[Engine] [21:43:56.427660] <  2> Engine1 <--- isready
[Engine] [21:43:56.427701] <  2> Engine1 ---> readyok
[Engine] [21:43:56.427765] <  2> Engine2 <--- isready
[Engine] [21:43:56.427805] <  2> Engine2 ---> readyok
[Engine] [21:43:56.427824] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2
[Engine] [21:43:56.427843] <  2> Engine2 <--- isready
[Engine] [21:43:56.427877] <  2> Engine2 ---> readyok
[Engine] [21:43:56.427895] <  2> Engine2 <--- go wtime 9720 btime 22161 winc 500 binc 500
[Engine] [21:43:56.450670] <  2> Engine2 ---> info depth 1 score cp 514 nodes 102 nps 0 hashfull 0 pv f2f1 
[Engine] [21:43:56.468724] <  2> Engine2 ---> info depth 2 score cp 102 nodes 187 nps 0 hashfull 0 pv h7h5 c1f4 
[Engine] [21:43:56.502113] <  2> Engine2 ---> info depth 3 score cp 415 nodes 3000 nps 0 hashfull 0 pv h7h5 c1f4 f2f1 
[Engine] [21:43:56.586994] <  2> Engine2 ---> info depth 4 score cp 5 nodes 7495 nps 0 hashfull 0 pv h7h5 a2a4 b6a4 a1a4 
[Engine] [21:43:57.820778] <  2> Engine2 ---> info depth 5 score cp 416 nodes 185106 nps 185106 hashfull 11 pv d7d6 d1d3 e8f8 c1f4 f2f1 
[Engine] [21:43:57.820880] <  2> Engine2 ---> bestmove d7d6
[Engine] [21:43:57.820914] <  2> Engine2 <--- isready
[Engine] [21:43:57.820954] <  2> Engine2 ---> readyok
[Engine] [21:43:57.821020] <  2> Engine1 <--- isready
[Engine] [21:43:57.821060] <  2> Engine1 ---> readyok
[Engine] [21:43:57.821079] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6
[Engine] [21:43:57.821099] <  2> Engine1 <--- isready
[Engine] [21:43:57.821132] <  2> Engine1 ---> readyok
[Engine] [21:43:57.821150] <  2> Engine1 <--- go wtime 9720 btime 21269 winc 500 binc 500
[Engine] [21:43:57.838890] <  2> Engine1 ---> info depth 1 score cp -104 nodes 72 nps 0 hashfull 0 pv c1f4 
[Engine] [21:43:57.856254] <  2> Engine1 ---> info depth 2 score cp -415 nodes 156 nps 0 hashfull 0 pv c1f4 f2f1 
[Engine] [21:43:57.910251] <  2> Engine1 ---> info depth 3 score cp 96 nodes 6197 nps 0 hashfull 0 pv a1b1 b8c6 b1b6 
[Engine] [21:43:58.630751] <  2> Engine1 ---> info depth 4 score cp -416 nodes 84139 nps 0 hashfull 4 pv d1d3 e8f8 c1f4 f2f1 
[Engine] [21:43:58.630863] <  2> Engine1 ---> bestmove d1d3
[Engine] [21:43:58.630903] <  2> Engine1 <--- isready
[Engine] [21:43:58.630953] <  2> Engine1 ---> readyok
[Engine] [21:43:58.631030] <  2> Engine2 <--- isready
[Engine] [21:43:58.631111] <  2> Engine2 ---> readyok
[Engine] [21:43:58.631170] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3
[Engine] [21:43:58.631199] <  2> Engine2 <--- isready
[Engine] [21:43:58.631242] <  2> Engine2 ---> readyok
[Engine] [21:43:58.631264] <  2> Engine2 <--- go wtime 9411 btime 21269 winc 500 binc 500
[Engine] [21:43:58.651375] <  2> Engine2 ---> info depth 1 score cp 518 nodes 123 nps 0 hashfull 0 pv f2f1 
[Engine] [21:43:58.668224] <  2> Engine2 ---> info depth 2 score cp 414 nodes 145 nps 0 hashfull 0 pv f2f1 d3h7 
[Engine] [21:43:58.712449] <  2> Engine2 ---> info depth 3 score cp 518 nodes 5337 nps 0 hashfull 0 pv f2f1 d3e4 c8e6 
[Engine] [21:43:59.024109] <  2> Engine2 ---> info depth 4 score cp 0 nodes 31130 nps 0 hashfull 1 pv c8e6 c1f4 
[Engine] [21:43:59.024208] <  2> Engine2 ---> bestmove c8e6
[Engine] [21:43:59.024242] <  2> Engine2 <--- isready
[Engine] [21:43:59.024282] <  2> Engine2 ---> readyok
[Engine] [21:43:59.024340] <  2> Engine1 <--- isready
[Engine] [21:43:59.024380] <  2> Engine1 ---> readyok
[Engine] [21:43:59.024399] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6
[Engine] [21:43:59.024419] <  2> Engine1 <--- isready
[Engine] [21:43:59.024452] <  2> Engine1 ---> readyok
[Engine] [21:43:59.024470] <  2> Engine1 <--- go wtime 9411 btime 21377 winc 500 binc 500
[Engine] [21:43:59.041272] <  2> Engine1 ---> info depth 1 score cp -103 nodes 99 nps 0 hashfull 0 pv d3h7 
[Engine] [21:43:59.060114] <  2> Engine1 ---> info depth 2 score cp -205 nodes 327 nps 0 hashfull 0 pv d3b5 c7c6 
[Engine] [21:43:59.098250] <  2> Engine1 ---> info depth 3 score cp 96 nodes 4012 nps 0 hashfull 0 pv d3b5 e8e7 b5b6 
[Engine] [21:43:59.764403] <  2> Engine1 ---> info depth 4 score cp -414 nodes 40500 nps 0 hashfull 2 pv h2h3 a7a6 c1f4 f2f1 
[Engine] [21:43:59.764505] <  2> Engine1 ---> bestmove h2h3
[Engine] [21:43:59.764567] <  2> Engine1 <--- isready
[Engine] [21:43:59.764618] <  2> Engine1 ---> readyok
[Engine] [21:43:59.764724] <  2> Engine2 <--- isready
[Engine] [21:43:59.764775] <  2> Engine2 ---> readyok
[Engine] [21:43:59.764799] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3
[Engine] [21:43:59.764823] <  2> Engine2 <--- isready
[Engine] [21:43:59.764860] <  2> Engine2 ---> readyok
[Engine] [21:43:59.764881] <  2> Engine2 <--- go wtime 9171 btime 21377 winc 500 binc 500
[Engine] [21:43:59.782854] <  2> Engine2 ---> info depth 1 score cp 518 nodes 138 nps 0 hashfull 0 pv f2f1 
[Engine] [21:43:59.802095] <  2> Engine2 ---> info depth 2 score cp 416 nodes 141 nps 0 hashfull 0 pv f2f1 c1f4 
[Engine] [21:43:59.858557] <  2> Engine2 ---> info depth 3 score cp 518 nodes 7112 nps 0 hashfull 0 pv f2f1 d3b5 c7c6 
[Engine] [21:44:00.414838] <  2> Engine2 ---> info depth 4 score cp 0 nodes 42628 nps 0 hashfull 3 pv e6d5 c1f4 
[Engine] [21:44:00.414939] <  2> Engine2 ---> bestmove e6d5
[Engine] [21:44:00.414965] <  2> Engine2 <--- isready
[Engine] [21:44:00.415015] <  2> Engine2 ---> readyok
[Engine] [21:44:00.415100] <  2> Engine1 <--- isready
[Engine] [21:44:00.415171] <  2> Engine1 ---> readyok
[Engine] [21:44:00.415197] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5
[Engine] [21:44:00.415218] <  2> Engine1 <--- isready
[Engine] [21:44:00.415251] <  2> Engine1 ---> readyok
[Engine] [21:44:00.415269] <  2> Engine1 <--- go wtime 9171 btime 21227 winc 500 binc 500
[Engine] [21:44:00.432724] <  2> Engine1 ---> info depth 1 score cp -103 nodes 90 nps 0 hashfull 0 pv d3h7 
[Engine] [21:44:00.451378] <  2> Engine1 ---> info depth 2 score cp -205 nodes 312 nps 0 hashfull 0 pv d3b5 c7c6 
[Engine] [21:44:00.482710] <  2> Engine1 ---> info depth 3 score cp 108 nodes 2864 nps 0 hashfull 0 pv d3b5 c7c6 b5d5 
[Engine] [21:44:01.129215] <  2> Engine1 ---> info depth 4 score cp -412 nodes 45464 nps 0 hashfull 3 pv c2b1 c7c6 c1f4 f2f4 
[Engine] [21:44:01.129315] <  2> Engine1 ---> bestmove c2b1
[Engine] [21:44:01.129349] <  2> Engine1 <--- isready
[Engine] [21:44:01.129388] <  2> Engine1 ---> readyok
[Engine] [21:44:01.129472] <  2> Engine2 <--- isready
[Engine] [21:44:01.129533] <  2> Engine2 ---> readyok
[Engine] [21:44:01.129585] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1
[Engine] [21:44:01.129630] <  2> Engine2 <--- isready
[Engine] [21:44:01.129690] <  2> Engine2 ---> readyok
[Engine] [21:44:01.129730] <  2> Engine2 <--- go wtime 8957 btime 21227 winc 500 binc 500
[Engine] [21:44:01.147611] <  2> Engine2 ---> info depth 1 score cp 514 nodes 129 nps 0 hashfull 0 pv f2f1 
[Engine] [21:44:01.167724] <  2> Engine2 ---> info depth 2 score cp 413 nodes 117 nps 0 hashfull 0 pv f2f1 d3h7 
[Engine] [21:44:01.218377] <  2> Engine2 ---> info depth 3 score cp 514 nodes 7013 nps 0 hashfull 0 pv f2f1 d3b5 c7c6 
[Engine] [21:44:01.496701] <  2> Engine2 ---> info depth 4 score cp 0 nodes 23174 nps 0 hashfull 1 pv c7c5 d4c5 
[Engine] [21:44:03.726198] <  2> Engine2 ---> info depth 5 score cp 709 nodes 299488 nps 149744 hashfull 17 pv f2f1 g1f3 d5a2 a1a2 f1h1 
[Engine] [21:44:03.726308] <  2> Engine2 ---> bestmove f2f1
[Engine] [21:44:03.726343] <  2> Engine2 <--- isready
[Engine] [21:44:03.726391] <  2> Engine2 ---> readyok
[Engine] [21:44:03.726527] <  2> Engine1 <--- isready
[Engine] [21:44:03.726591] <  2> Engine1 ---> readyok
[Engine] [21:44:03.726615] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1
[Engine] [21:44:03.726637] <  2> Engine1 <--- isready
[Engine] [21:44:03.726773] <  2> Engine1 ---> readyok
[Engine] [21:44:03.726798] <  2> Engine1 <--- go wtime 8957 btime 19131 winc 500 binc 500
[Engine] [21:44:03.743668] <  2> Engine1 ---> info depth 1 score cp -413 nodes 75 nps 0 hashfull 0 pv d3h7 
[Engine] [21:44:03.761486] <  2> Engine1 ---> info depth 2 score cp -514 nodes 454 nps 0 hashfull 0 pv d3b5 c7c6 
[Engine] [21:44:03.781337] <  2> Engine1 ---> info depth 3 score cp 73 nodes 899 nps 0 hashfull 0 pv a2a4 f1c1 b1c1 
[Engine] [21:44:04.222876] <  2> Engine1 ---> info depth 4 score cp -709 nodes 43066 nps 0 hashfull 2 pv g1f3 d5a2 a1a2 f1h1 
[Engine] [21:44:04.222978] <  2> Engine1 ---> bestmove g1f3
[Engine] [21:44:04.223005] <  2> Engine1 <--- isready
[Engine] [21:44:04.223049] <  2> Engine1 ---> readyok
[Engine] [21:44:04.223123] <  2> Engine2 <--- isready
[Engine] [21:44:04.223170] <  2> Engine2 ---> readyok
[Engine] [21:44:04.223193] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3
[Engine] [21:44:04.223217] <  2> Engine2 <--- isready
[Engine] [21:44:04.223243] <  2> Engine2 ---> readyok
[Engine] [21:44:04.223263] <  2> Engine2 <--- go wtime 8961 btime 19131 winc 500 binc 500
[Engine] [21:44:04.244479] <  2> Engine2 ---> info depth 1 score cp 915 nodes 120 nps 0 hashfull 0 pv f1h1 
[Engine] [21:44:04.262124] <  2> Engine2 ---> info depth 2 score cp 815 nodes 123 nps 0 hashfull 0 pv f1h1 d3h7 
[Engine] [21:44:04.295361] <  2> Engine2 ---> info depth 3 score cp 920 nodes 3740 nps 0 hashfull 0 pv f1h1 d3b5 b6d7 
[Engine] [21:44:04.352196] <  2> Engine2 ---> info depth 4 score cp 322 nodes 2405 nps 0 hashfull 0 pv f1h1 e2e4 h1c1 b1c1 
[Engine] [21:44:05.118094] <  2> Engine2 ---> info depth 5 score cp 1114 nodes 105756 nps 0 hashfull 6 pv f1h1 g2g3 d5f3 g3f4 h1c1 
[Engine] [21:44:05.118199] <  2> Engine2 ---> bestmove f1h1
[Engine] [21:44:05.118225] <  2> Engine2 <--- isready
[Engine] [21:44:05.118269] <  2> Engine2 ---> readyok
[Engine] [21:44:05.118348] <  2> Engine1 <--- isready
[Engine] [21:44:05.118393] <  2> Engine1 ---> readyok
[Engine] [21:44:05.118416] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1
[Engine] [21:44:05.118440] <  2> Engine1 <--- isready
[Engine] [21:44:05.118476] <  2> Engine1 ---> readyok
[Engine] [21:44:05.118497] <  2> Engine1 <--- go wtime 8961 btime 18737 winc 500 binc 500
[Engine] [21:44:05.135208] <  2> Engine1 ---> info depth 1 score cp -815 nodes 84 nps 0 hashfull 0 pv d3h7 
[Engine] [21:44:05.153533] <  2> Engine1 ---> info depth 2 score cp -920 nodes 403 nps 0 hashfull 0 pv d3b5 b6d7 
[Engine] [21:44:05.177692] <  2> Engine1 ---> info depth 3 score cp -322 nodes 1458 nps 0 hashfull 0 pv e2e4 h1c1 b1c1 
[Engine] [21:44:05.522461] <  2> Engine1 ---> info depth 4 score cp -1114 nodes 26208 nps 0 hashfull 1 pv g2g3 d5f3 g3f4 h1c1 
[Engine] [21:44:05.522554] <  2> Engine1 ---> bestmove g2g3
[Engine] [21:44:05.522591] <  2> Engine1 <--- isready
[Engine] [21:44:05.522630] <  2> Engine1 ---> readyok
[Engine] [21:44:05.522694] <  2> Engine2 <--- isready
[Engine] [21:44:05.522732] <  2> Engine2 ---> readyok
[Engine] [21:44:05.522751] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1 g2g3
[Engine] [21:44:05.522770] <  2> Engine2 <--- isready
[Engine] [21:44:05.522797] <  2> Engine2 ---> readyok
[Engine] [21:44:05.522813] <  2> Engine2 <--- go wtime 9057 btime 18737 winc 500 binc 500
[Engine] [21:44:05.540514] <  2> Engine2 ---> info depth 1 score cp 1216 nodes 123 nps 0 hashfull 0 pv d5f3 
[Engine] [21:44:05.557539] <  2> Engine2 ---> info depth 2 score cp 909 nodes 114 nps 0 hashfull 0 pv d5f3 e2f3 
[Engine] [21:44:05.609121] <  2> Engine2 ---> info depth 3 score cp 1200 nodes 6827 nps 0 hashfull 0 pv d5f3 e2f3 h1c1 
[Engine] [21:44:05.667536] <  2> Engine2 ---> info depth 4 score cp 631 nodes 1935 nps 0 hashfull 0 pv h1c1 b1c1 d5f3 e2f3 
[Engine] [21:44:08.168658] <  2> Engine2 ---> info depth 5 score cp 1210 nodes 315929 nps 157964 hashfull 11 pv f4g3 f3g5 b6c4 g5f7 h1c1 
[Engine] [21:44:08.168762] <  2> Engine2 ---> bestmove f4g3
[Engine] [21:44:08.168789] <  2> Engine2 <--- isready
[Engine] [21:44:08.168832] <  2> Engine2 ---> readyok
[Engine] [21:44:08.168911] <  2> Engine1 <--- isready
[Engine] [21:44:08.168956] <  2> Engine1 ---> readyok
[Engine] [21:44:08.168979] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1 g2g3 f4g3
[Engine] [21:44:08.169062] <  2> Engine1 <--- isready
[Engine] [21:44:08.169101] <  2> Engine1 ---> readyok
[Engine] [21:44:08.169140] <  2> Engine1 <--- go wtime 9057 btime 16592 winc 500 binc 500
[Engine] [21:44:08.185303] <  2> Engine1 ---> info depth 1 score cp -917 nodes 78 nps 0 hashfull 0 pv d3h7 
[Engine] [21:44:08.204824] <  2> Engine1 ---> info depth 2 score cp -1016 nodes 464 nps 0 hashfull 0 pv d3e3 d5e6 
[Engine] [21:44:08.226668] <  2> Engine1 ---> info depth 3 score cp -431 nodes 1269 nps 0 hashfull 0 pv e2e4 h1c1 b1c1 
[Engine] [21:44:08.980901] <  2> Engine1 ---> info depth 4 score cp -1210 nodes 47915 nps 0 hashfull 2 pv f3g5 b6c4 g5f7 h1c1 
[Engine] [21:44:08.980997] <  2> Engine1 ---> bestmove f3g5
[Engine] [21:44:08.981020] <  2> Engine1 <--- isready
[Engine] [21:44:08.981071] <  2> Engine1 ---> readyok
[Engine] [21:44:08.981171] <  2> Engine2 <--- isready
[Engine] [21:44:08.981231] <  2> Engine2 ---> readyok
[Engine] [21:44:08.981256] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1 g2g3 f4g3 f3g5
[Engine] [21:44:08.981352] <  2> Engine2 <--- isready
[Engine] [21:44:08.981497] <  2> Engine2 ---> readyok
[Engine] [21:44:08.981527] <  2> Engine2 <--- go wtime 8746 btime 16592 winc 500 binc 500
[Engine] [21:44:08.999922] <  2> Engine2 ---> info depth 1 score cp 1310 nodes 126 nps 0 hashfull 0 pv h1c1 
[Engine] [21:44:09.019066] <  2> Engine2 ---> info depth 2 score cp 431 nodes 118 nps 0 hashfull 0 pv h1c1 b1c1 
[Engine] [21:44:09.125425] <  2> Engine2 ---> info depth 3 score cp 1210 nodes 15542 nps 0 hashfull 0 pv b6c4 g5f7 h1c1 
[Engine] [21:44:09.187365] <  2> Engine2 ---> info depth 4 score cp 431 nodes 3097 nps 0 hashfull 0 pv h1c1 b1c1 b6c4 d3c4 
[Engine] [21:44:13.123715] <  2> Engine2 ---> info depth 5 score cp 1210 nodes 612974 nps 153243 hashfull 19 pv f7f5 g5h7 h8h7 d3e3 e8d8 
[Engine] [21:44:13.123826] <  2> Engine2 ---> bestmove f7f5
[Engine] [21:44:13.123861] <  2> Engine2 <--- isready
[Engine] [21:44:13.123902] <  2> Engine2 ---> readyok
[Engine] [21:44:13.123996] <  2> Engine1 <--- isready
[Engine] [21:44:13.124054] <  2> Engine1 ---> readyok
[Engine] [21:44:13.124075] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1 g2g3 f4g3 f3g5 f7f5
[Engine] [21:44:13.124095] <  2> Engine1 <--- isready
[Engine] [21:44:13.124125] <  2> Engine1 ---> readyok
[Engine] [21:44:13.124142] <  2> Engine1 <--- go wtime 8746 btime 12950 winc 500 binc 500
[Engine] [21:44:13.140774] <  2> Engine1 ---> info depth 1 score cp -919 nodes 72 nps 0 hashfull 0 pv d3f5 
[Engine] [21:44:13.158947] <  2> Engine1 ---> info depth 2 score cp -1016 nodes 174 nps 0 hashfull 0 pv d3e3 d5e6 
[Engine] [21:44:13.181706] <  2> Engine1 ---> info depth 3 score cp -322 nodes 736 nps 0 hashfull 0 pv d3f5 h1c1 b1c1 
[Engine] [21:44:13.681333] <  2> Engine1 ---> info depth 4 score cp -1210 nodes 37502 nps 0 hashfull 2 pv d3f5 g7g6 f5f6 h1c1 
[Engine] [21:44:13.681455] <  2> Engine1 ---> bestmove d3f5
[Engine] [21:44:13.681496] <  2> Engine1 <--- isready
[Engine] [21:44:13.681553] <  2> Engine1 ---> readyok
[Engine] [21:44:13.681630] <  2> Engine2 <--- isready
[Engine] [21:44:13.681712] <  2> Engine2 ---> readyok
[Engine] [21:44:13.681737] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2 b4c3 b2c3 h4f2 d2c2 d7d6 d1d3 c8e6 h2h3 e6d5 c2b1 f2f1 g1f3 f1h1 g2g3 f4g3 f3g5 f7f5 d3f5
[Engine] [21:44:13.681758] <  2> Engine2 <--- isready
[Engine] [21:44:13.681790] <  2> Engine2 ---> readyok
[Engine] [21:44:13.681807] <  2> Engine2 <--- go wtime 8689 btime 12950 winc 500 binc 500
[Engine] [21:44:13.705724] <  2> Engine2 ---> info depth 1 score cp 1210 nodes 117 nps 0 hashfull 0 pv h1c1 
[Engine] [21:44:13.722006] <  2> Engine2 ---> info depth 2 score cp 322 nodes 75 nps 0 hashfull 0 pv h1c1 b1c1 
[Engine] [21:44:13.796031] <  2> Engine2 ---> info depth 3 score cp 1210 nodes 10931 nps 0 hashfull 0 pv g7g6 f5f6 h1c1 
[Engine] [21:44:13.851279] <  2> Engine2 ---> info depth 4 score cp 113 nodes 2640 nps 0 hashfull 0 pv h1c1 b1c1 d5a2 a1a2 
[Engine] [21:44:26.909408] <  2> Engine2 <--- isready
[Engine] [21:44:28.434430] <  2> Engine2 ---> info depth 5 score cp 1110 nodes 1725116 nps 123222 hashfull 32 pv b8c6 f5f7 e8d8 f7g7 h1c1 
[Engine] [21:44:28.434536] <  2> Engine2 ---> bestmove b8c6
